Title,Location,Price,Bedrooms,Bathrooms,Toilets,Agent,DateAdded,ImageURL,URL
Exquisitely Finished 7 Bedroom Mansion Available,"Ikeja GRA, Ikeja, Lagos","₦1,600,000,000",7 Bed,7 Bath,7 Toilet,"Loyalty Homes Limited

  08169222741",,https://images.nigeriapropertycentre.com/properties/images/thumbs/2839298/0680cb21199af6-exquisitely-finished-7-bedroom-mansion-available-for-sale-gra-ikeja-lagos.jpg,https://www.nigeriapropertycentre.com/for-sale/houses/lagos/ikeja/gra/2839298-exquisitely-finished-7-bedroom-mansion-available
A Detached House With Other Appurtenances Structures,"Ikeja GRA, Ikeja, Lagos","₦3,500,000,000",4 Bed,5 Bath,5 Toilet,"Loyalty Homes Limited

  08169222741",,https://images.nigeriapropertycentre.com/properties/images/thumbs/2747001/067c45e532f7d0-a-detached-house-with-other-appurtenances-structures-detached-duplexes-for-sale-gra-ikeja-lagos.jpg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ikeja/gra/2747001-a-detached-house-with-other-appurtenances-structures
Ultra Modern 4 Bedroom Fully Detached Duplex,"Off Fagba Road, Ogba, Ikeja, Lagos","₦185,000,000",4 Bed,4 Bath,4 Toilet,"Loyalty Homes Limited

  08169222741",,https://images.nigeriapropertycentre.com/properties/images/thumbs/2863058/0682016d794559-ultra-modern-4-bedroom-fully-detached-duplex-detached-duplexes-for-sale-ogba-ikeja-lagos.jpg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ikeja/ogba/2863058-ultra-modern-4-bedroom-fully-detached-duplex
Eye Catchy 4 Bedroom Detached Duplex Plus 2 Bq,"Eye Catchy 4 Bedroom Detached Duplex Plus 2 Bq, Ogba, Ikeja, Lagos","₦250,000,000",4 Bed,4 Bath,5 Toilet,"Stellathe_realtor

  07067722639",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922601/0684e8dfc41c83-eye-catchy-4-bedroom-detached-duplex-plus-2-bq-detached-duplexes-for-sale-ogba-ikeja-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ikeja/ogba/2922601-eye-catchy-4-bedroom-detached-duplex-plus-2-bq
Beautifully Crafted 4 Bedroom Semi Detached Duplex Plus Bq  With Range,"Opebi, Ikeja, Lagos","₦400,000,000",4 Bed,4 Bath,4 Toilet,"9jahomes

  09038166327",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922578/0684e8856a7391-beautifully-crafted-4-bedroom-semi-detached-duplex-plus-bq-with-range-semi-detached-duplexes-for-sale-opebi-ikeja-lagos.jpg,https://www.nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/ikeja/opebi/2922578-beautifully-crafted-4-bedroom-semi-detached-duplex-plus-bq-with-range
Aesthetically Pleasing 5bedroom Fully Detached Duplex,"Banana Island, Ikoyi, Lagos","$6,000,000",5 Bed,6 Bath,6 Toilet,"Royal9ja Properties Management

  08092302956",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922607/0684e8f0d63149-aesthetically-pleasing-5bedroom-fully-detached-duplex-detached-duplexes-for-sale-banana-island-ikoyi-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ikoyi/banana-island/2922607-aesthetically-pleasing-5bedroom-fully-detached-duplex
Fully Furnished Built 4 Bedroom Terrace Duplex With Bq,"Parkview, Ikoyi, Lagos","₦970,000,000",4 Bed,4 Bath,5 Toilet,"Lekki Luxury Homes & Lifestyle

  07082621178",,https://images.nigeriapropertycentre.com/properties/images/thumbs/2906465/068416c0c800c0-fully-furnished-built-4-bedroom-terrace-duplex-with-bq-terraced-duplexes-for-sale-parkview-ikoyi-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ikoyi/parkview/2906465-fully-furnished-built-4-bedroom-terrace-duplex-with-bq
Lovely Built 5 Bedroom Fully Detached Duplex Plus Bq  With Range Of Fe,"GRA Phase 1, Magodo, Lagos","₦250,000,000",5 Bed,5 Bath,4 Toilet,"Rya Luxe Homes

  08106276485",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922589/0684e8b4a0058e-lovely-built-5-bedroom-fully-detached-duplex-plus-bq-with-range-of-fe-detached-duplexes-for-sale-gra-phase-1-magodo-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/magodo/gra-phase-1/2922589-lovely-built-5-bedroom-fully-detached-duplex-plus-bq-with-range-of-fe
Aesthetically Pleasing 4bedroom Terrace Duplex With Bq,"Old Ikoyi, Ikoyi, Lagos","₦750,000,000",4 Bed,5 Bath,5 Toilet,"Royal9ja Properties Management

  08092302956",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922593/0684e8c1fc19dd-aesthetically-pleasing-4bedroom-terrace-duplex-with-bq-terraced-duplexes-for-sale-old-ikoyi-ikoyi-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ikoyi/old-ikoyi/2922593-aesthetically-pleasing-4bedroom-terrace-duplex-with-bq
Pristine Newly Built 4 Bedroom Terrace Duplex Plus Bq,"Newly Built Home In A Gated Estate With Balcony With Clean Water, GRA Phase 2, Magodo, Lagos","₦300,000,000",4 Bed,4 Bath,5 Toilet,"Rya Luxe Homes

  08106276485",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922583/0684e8a4631bc2-pristine-newly-built-4-bedroom-terrace-duplex-plus-bq-terraced-duplexes-for-sale-gra-phase-2-magodo-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/magodo/gra-phase-2/2922583-pristine-newly-built-4-bedroom-terrace-duplex-plus-bq
Newly Built 4 Bedroom Fully Detached Duplex House With Bq In A Serene,"Newly Built Home In A Secure Environment And Neighborhood, GRA Phase 2, Magodo, Lagos","₦280,000,000",4 Bed,4 Bath,5 Toilet,"Rya Luxe Homes

  08106276485",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922594/0684e8c65daff4-newly-built-4-bedroom-fully-detached-duplex-house-with-bq-in-a-serene-detached-duplexes-for-sale-gra-phase-2-magodo-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/magodo/gra-phase-2/2922594-newly-built-4-bedroom-fully-detached-duplex-house-with-bq-in-a-serene
Eye Catchy 4 Bedroom Semi Detached Duplex With Bq,"Newly Built Home With Beautiful Woodwork And Beautiful Chandeliers, GRA Phase 2, Magodo, Lagos","₦320,000,000",4 Bed,4 Bath,5 Toilet,"Rya Luxe Homes

  08106276485",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922599/0684e8d90b6ceb-eye-catchy-4-bedroom-semi-detached-duplex-with-bq-semi-detached-duplexes-for-sale-gra-phase-2-magodo-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/magodo/gra-phase-2/2922599-eye-catchy-4-bedroom-semi-detached-duplex-with-bq
"Beautifully Crafted 5 Bedroom Detached Duplex Plus Pool, Gym Room","Newly Built Smart Home In A Gated Estate With Modern Architecture, GRA Phase 2, Magodo, Lagos","₦700,000,000",5 Bed,5 Bath,6 Toilet,"Rya Luxe Homes

  08106276485",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922603/0684e8ebbe742a-beautifully-crafted-5-bedroom-detached-duplex-plus-pool-gym-room-detached-duplexes-for-sale-gra-phase-2-magodo-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/magodo/gra-phase-2/2922603-beautifully-crafted-5-bedroom-detached-duplex-plus-pool-gym-room
Grand Newly Built 5 Bedroom Fully Detached House With Study Room,"Newly Built Home With Water Heaters With A Fully Fitted Kitchen, GRA Phase 2, Magodo, Lagos","₦450,000,000",5 Bed,5 Bath,6 Toilet,"Rya Luxe Homes

  08106276485",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922610/0684e8fc836149-grand-newly-built-5-bedroom-fully-detached-house-with-study-room-detached-duplexes-for-sale-gra-phase-2-magodo-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/magodo/gra-phase-2/2922610-grand-newly-built-5-bedroom-fully-detached-house-with-study-room
Eye Catchy 3 Bedroom Fully Detached Duplex Plus Bq,"Newly Built Home In A Gated Estate With Pop Ceiling And Study Room, Magodo, Lagos","₦220,000,000",3 Bed,3 Bath,4 Toilet,"Rya Luxe Homes

  08106276485",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922581/0684e8908148b8-eye-catchy-3-bedroom-fully-detached-duplex-plus-bq-detached-duplexes-for-sale-magodo-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/magodo/2922581-eye-catchy-3-bedroom-fully-detached-duplex-plus-bq
Most Affordable 5bedroom Fully Detached Duplex With Pool,"Ikoyi, Lagos","₦2,500,000,000",5 Bed,6 Bath,6 Toilet,"Royal9ja Properties Management

  08092302956",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922586/0684e8b0c8ed74-most-affordable-5bedroom-fully-detached-duplex-with-pool-detached-duplexes-for-sale-ikoyi-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ikoyi/2922586-most-affordable-5bedroom-fully-detached-duplex-with-pool
Luxurious 5bedroom Detached Duplex With Swimming Pool,"Ajah, Lagos","₦270,000,000",5 Bed,6 Bath,6 Toilet,"Luxurious Properties & Aviation Agency

  +2349038366992",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922585/0684e8a9388ce6-luxurious-5bedroom-detached-duplex-with-swimming-pool-detached-duplexes-for-sale-ajah-lagos.jpg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/2922585-luxurious-5bedroom-detached-duplex-with-swimming-pool
Four Bedroom Bungalow,"Satellite Town, Isolo, Lagos","₦55,000,000",4 Bed,4 Bath,4 Toilet,"Loyalty Homes Limited

  08169222741",,https://images.nigeriapropertycentre.com/properties/images/thumbs/2916527/06849b850b901a-four-bedroom-bungalow-detached-bungalows-for-sale-isolo-lagos.jpg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-bungalows/lagos/isolo/2916527-four-bedroom-bungalow
Spacious 4 Bedroom Terrace Duplex With Pool And Gym,"Orchid Road, Lekki, Lagos","₦100,000,000",4 Bed,4 Bath,5 Toilet,"Outstanding Real Estate Limited

  07030598736",,https://images.nigeriapropertycentre.com/properties/images/thumbs/2889124/068348346276bb-spacious-4-bedroom-terrace-duplex-with-pool-and-gym-terraced-duplexes-for-sale-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/2889124-spacious-4-bedroom-terrace-duplex-with-pool-and-gym
Newly Built 4 Bedroom Detached Duplex With Bq,"Chevron, Lekki, Lagos","₦195,000,000",4 Bed,4 Bath,5 Toilet,"Lekki Luxury Homes & Lifestyle

  07082621178",,https://images.nigeriapropertycentre.com/properties/images/thumbs/2900526/0683d847631096-newly-built-4-bedroom-detached-duplex-with-bq-for-sale-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/2900526-newly-built-4-bedroom-detached-duplex-with-bq
Luxury 5 Bedrooms Semi-detached Duplex,"Urban Prime Three Phase 2 Estate, Ogombo, Ajah, Lagos","₦230,000,000",5 Bed,6 Bath,7 Toilet,"Lake Pad Ventures

  08067495852",,https://images.nigeriapropertycentre.com/properties/images/thumbs/1788604/0649b3917228a0-luxury-5-bedroom-semi-detached-duplex-semi-detached-duplexes-for-sale-ogombo-ajah-lagos.jpg,https://www.nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/ajah/ogombo/1788604-luxury-5-bedrooms-semi-detached-duplex
Eye Catchy 4 Bedroom  Detached Duplex Plus 2 Bq.,"Ogba, Ikeja, Lagos","₦250,000,000",4 Bed,4 Bath,4 Toilet,"9jahomes

  09038166327",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922568/0684e85c59e964-eye-catchy-4-bedroom-detached-duplex-plus-2-bq-detached-duplexes-for-sale-ogba-ikeja-lagos.jpg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ikeja/ogba/2922568-eye-catchy-4-bedroom-detached-duplex-plus-2-bq
Breathtaking 4 Bedroom  Detached Duplex With Study Room And Room Bq.,"Opebi, Ikeja, Lagos","₦350,000,000",4 Bed,4 Bath,4 Toilet,"9jahomes

  09038166327",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922572/0684e870629576-breathtaking-4-bedroom-detached-duplex-with-study-room-and-room-bq-detached-duplexes-for-sale-opebi-ikeja-lagos.jpg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ikeja/opebi/2922572-breathtaking-4-bedroom-detached-duplex-with-study-room-and-room-bq
6 Units Of 3 Bedrooms Flat With Bq,"Periwinkle Estate, Lekki Phase 1, Lekki, Lagos","₦1,500,000,000",3 Bed,3 Bath,4 Toilet,"Deemah Consult

  08033690629",,https://images.nigeriapropertycentre.com/properties/images/thumbs/2858360/0681c57efd4c56-6-units-of-3-bedrooms-with-bq-block-of-flats-for-sale-lekki-lagos.jpg,https://www.nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/lekki/lekki-phase-1/2858360-6-units-of-3-bedrooms-flat-with-bq
Aesthetically Pleasing 5bedroom Fully Detached Duplex With Bq,"Osapa London, Osapa, Lekki, Lagos","₦550,000,000",5 Bed,6 Bath,6 Toilet,"Royal9ja Properties Management

  08092302956",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922548/0684e812ec50af-aesthetically-pleasing-5bedroom-fully-detached-duplex-with-bq-detached-duplexes-for-sale-osapa-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/osapa/2922548-aesthetically-pleasing-5bedroom-fully-detached-duplex-with-bq
Most Affordable 5bedroom Fully Detached Duplex With Pool & Bq,"Osapa London, Osapa, Lekki, Lagos","₦1,680,000,000",5 Bed,6 Bath,6 Toilet,"Royal9ja Properties Management

  08092302956",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922550/0684e8282e5482-most-affordable-5bedroom-fully-detached-duplex-with-pool-bq-detached-duplexes-for-sale-osapa-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/osapa/2922550-most-affordable-5bedroom-fully-detached-duplex-with-pool-bq
Most Affordable 5bedroom Fully Detached Duplex With Pool And Bq,"Osapa London, Osapa, Lekki, Lagos","₦380,000,000",5 Bed,6 Bath,6 Toilet,"Royal9ja Properties Management

  08092302956",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922569/0684e85c4255ff-most-affordable-5bedroom-fully-detached-duplex-with-pool-and-bq-detached-duplexes-for-sale-osapa-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/osapa/2922569-most-affordable-5bedroom-fully-detached-duplex-with-pool-and-bq
Most Affordable 5bedroom Fully Detached Duplex With Pool & Bq,"Osapa London, Osapa, Lekki, Lagos","₦800,000,000",5 Bed,6 Bath,6 Toilet,"Royal9ja Properties Management

  08092302956",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922573/0684e86e9d4932-most-affordable-5bedroom-fully-detached-duplex-with-pool-bq-detached-duplexes-for-sale-osapa-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/osapa/2922573-most-affordable-5bedroom-fully-detached-duplex-with-pool-bq
Most Affordable 4bedroom Fully Detached Duplex With Pool & Bq,"Banana Island, Ikoyi, Lagos","₦3,500,000,000",4 Bed,5 Bath,5 Toilet,"Royal9ja Properties Management

  08092302956",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922558/0684e835c294f0-most-affordable-4bedroom-fully-detached-duplex-with-pool-bq-detached-duplexes-for-sale-banana-island-ikoyi-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ikoyi/banana-island/2922558-most-affordable-4bedroom-fully-detached-duplex-with-pool-bq
Luxury 5 Bedroom Fully Detached Houses With Pool  In A Seren Estate.,"Banana Island, Ikoyi, Lagos","$180,000",5 Bed,5 Bath,5 Toilet,"9jahomes

  09038166327",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922562/0684e840d1e8f1-luxury-5-bedroom-fully-detached-houses-with-pool-in-a-seren-estate-detached-duplexes-for-sale-banana-island-ikoyi-lagos.jpg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ikoyi/banana-island/2922562-luxury-5-bedroom-fully-detached-houses-with-pool-in-a-seren-estate
Most Affordable 5bedroom Terrace Duplex With Pool & Bq,"Banana Island, Ikoyi, Lagos","$2,000,000",5 Bed,6 Bath,6 Toilet,"Royal9ja Properties Management

  08092302956",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922564/0684e84aa29b2d-most-affordable-5bedroom-terrace-duplex-with-pool-bq-terraced-duplexes-for-sale-banana-island-ikoyi-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ikoyi/banana-island/2922564-most-affordable-5bedroom-terrace-duplex-with-pool-bq
"Lovely 4 Units Bungalows On More Than Half Plot, Facing Two Streets","Ajasa, Command, Abule Egba, Agege, Lagos","₦32,000,000",7 Bed,7 Bath,7 Toilet,"Eniola Ogunmuyide & Partners

  08033910359",,https://images.nigeriapropertycentre.com/properties/images/thumbs/2858692/0681c859121319-lovely-4-units-bungalows-on-more-than-half-plot-facing-two-streets-detached-bungalows-for-sale-abule-egba-agege-lagos.jpg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-bungalows/lagos/agege/abule-egba/2858692-lovely-4-units-bungalows-on-more-than-half-plot-facing-two-streets
Strategic A Bungalow Of 3 Flats With 4 Shops,"Off  Ekoro Road, Abule Egba, Agege, Lagos","₦35,000,000",3 Bed,,,"Eniola Ogunmuyide & Partners

  08033910359",,https://images.nigeriapropertycentre.com/properties/images/thumbs/2749225/067c5e9e538a77-strategic-3-bedroom-bungalow-with-4-shops-semi-detached-bungalows-for-sale-abule-egba-agege-lagos.jpg,https://www.nigeriapropertycentre.com/for-sale/houses/semi-detached-bungalows/lagos/agege/abule-egba/2749225-strategic-a-bungalow-of-3-flats-with-4-shops
Stunning 5 Bedroom Fully  Detached Duplex With Pool & Bq.,"Inside Idado Estate Lekki Lagos, Idado, Lekki, Lagos","₦370,000,000",5 Bed,6 Bath,6 Toilet,"Property Hub Naija

  +2349059227043",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922576/0684e872fcd7de-stunning-5-bedroom-fully-detached-duplex-with-pool-bq-detached-duplexes-for-sale-idado-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/idado/2922576-stunning-5-bedroom-fully-detached-duplex-with-pool-bq
Newly Renovated 6 Units Of 3-bedroom Flats In A Secured Estate,"Puposola, New Oko-Oba, Agege, Lagos","₦350,000,000",18 Bed,18 Bath,18 Toilet,"Eniola Ogunmuyide & Partners

  08033910359",,https://images.nigeriapropertycentre.com/properties/images/thumbs/2809792/067f55959efbc3-newly-renovated-6-units-of-3-bedroom-flats-in-a-secured-estate-block-of-flats-for-sale-new-oko-oba-agege-lagos.jpg,https://www.nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/agege/new-oko-oba/2809792-newly-renovated-6-units-of-3-bedroom-flats-in-a-secured-estate
Magnificent 6 Bedroom Newly Built Townhouse,"Ikota Villa Estate, Ikota, Lekki, Lagos","₦650,000,000",6 Bed,6 Bath,6 Toilet,"Axis & Fortress Limited

  09029604948",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922549/0684e818a31179-magnificent-6-bedroom-newly-built-townhouse-detached-duplexes-for-sale-ikota-lekki-lagos.jpg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/ikota/2922549-magnificent-6-bedroom-newly-built-townhouse
Two Numbers Of Flat,"Off Agric Road, Igando, Alimosho, Lagos","₦27,000,000",3 Bed,3 Bath,4 Toilet,"Brokerlease Properties And Real Estate

  08084833523",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922563/0684e8458a8685-two-numbers-of-flat-block-of-flats-for-sale-igando-alimosho-lagos.jpg,https://www.nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/alimosho/igando/2922563-two-numbers-of-flat
Strategically Positioned 4 Units Of Mini Flats & Room Self,"White House, Ajasa, Command, Ipaja, Lagos","₦23,000,000",4 Bed,,,"Eniola Ogunmuyide & Partners

  08033910359",,https://images.nigeriapropertycentre.com/properties/images/thumbs/2888840/0683462afa94d2-strategically-positioned-4-units-of-mini-flats-room-self-block-of-flats-for-sale-ipaja-lagos.jpg,https://www.nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/ipaja/2888840-strategically-positioned-4-units-of-mini-flats-room-self
Strategically Located 3 Bedroom Bungalow,"White House, Ajasa, Command, Ipaja, Lagos","₦14,500,000",3 Bed,,,"Eniola Ogunmuyide & Partners

  08033910359",,https://images.nigeriapropertycentre.com/properties/images/thumbs/2888808/068345f56c1cde-strategically-located-3-bedroom-bungalow-semi-detached-bungalows-for-sale-ipaja-lagos.jpg,https://www.nigeriapropertycentre.com/for-sale/houses/semi-detached-bungalows/lagos/ipaja/2888808-strategically-located-3-bedroom-bungalow
Vacant Highrise Buildings Of 54 Flats,"Lola Holloway Road, Ikoyi, Lagos","₦30,000,000,000",4 Bed,,,"Posh Properties

  08036176437",,https://images.nigeriapropertycentre.com/properties/images/thumbs/2395360/066fa63e1d5263-vacant-highrise-buildings-of-54-flats-block-of-flats-for-sale-ikoyi-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/ikoyi/2395360-vacant-highrise-buildings-of-54-flats
Luxury Newly Built 3 Bedroom Semi Detached Duplex Plus Bq,"Luxuriously Newly Built Home With Beautiful Chandeliers, Magodo, Lagos","₦140,000,000",3 Bed,3 Bath,4 Toilet,"Rya Luxe Homes

  08106276485",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922577/0684e8830925e0-luxury-newly-built-3-bedroom-semi-detached-duplex-plus-bq-semi-detached-duplexes-for-sale-magodo-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/magodo/2922577-luxury-newly-built-3-bedroom-semi-detached-duplex-plus-bq
Newly Built 4 Bedroom Penthouse,"Lekki Phase 1, Lekki, Lagos","₦450,000,000",4 Bed,4 Bath,5 Toilet,"Jamesy Empire

  08166197539",,https://images.nigeriapropertycentre.com/properties/images/thumbs/2773425/067d8c7833e52c-newly-built-4-bedroom-penthouse-for-sale-lekki-phase-1-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/lagos/lekki/lekki-phase-1/2773425-newly-built-4-bedroom-penthouse
3 Bedroom Terrace Duplex On 2 Floors @lekki Phase One,"Lekki Phase 1, Lekki, Lagos","₦230,000,000",3 Bed,3 Bath,4 Toilet,"Annie Homes

  08162416910",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922522/0684e7a3d45581-3-bedroom-terrace-duplex-on-2-floors-at-lekki-phase-one-terraced-duplexes-for-sale-lekki-phase-1-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/lekki-phase-1/2922522-3-bedroom-terrace-duplex-on-2-floors-at-lekki-phase-one
Exquisitely Built 5 Bedroom Fully Detached Duplex With Swimming Pool,"Osapa London, Osapa, Lekki, Lagos","₦1,300,000,000",5 Bed,5 Bath,6 Toilet,"Global Betapropertiesng

  08054398871",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922495/0684e720685a05-exquisitely-built-5-bedroom-fully-detached-duplex-with-swimming-pool-detached-duplexes-for-sale-osapa-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/osapa/2922495-exquisitely-built-5-bedroom-fully-detached-duplex-with-swimming-pool
Exquisitely Built 5 Bedroom Fully Detached Duplex With Cinema,"Osapa London, Osapa, Lekki, Lagos","₦1,200,000,000",5 Bed,5 Bath,6 Toilet,"Global Betapropertiesng

  08054398871",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922497/0684e72b164e40-exquisitely-built-5-bedroom-fully-detached-duplex-with-cinema-detached-duplexes-for-sale-osapa-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/osapa/2922497-exquisitely-built-5-bedroom-fully-detached-duplex-with-cinema
"Exquisitely Built 5 Bedroom Fully Detached Duplex With Cinema,elevator","Osapa London, Osapa, Lekki, Lagos","₦850,000,000",5 Bed,5 Bath,6 Toilet,"Global Betapropertiesng

  08054398871",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922498/0684e732d9014f-exquisitely-built-5-bedroom-fully-detached-duplex-with-cinemaelevator-detached-duplexes-for-sale-osapa-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/osapa/2922498-exquisitely-built-5-bedroom-fully-detached-duplex-with-cinemaelevator
Most Affordable 5bedroom Fully Detached Duplex With Pool & Bq,"Osapa London, Osapa, Lekki, Lagos","₦850,000,000",5 Bed,6 Bath,6 Toilet,"Royal9ja Properties Management

  08092302956",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922524/0684e7aed62644-most-affordable-5bedroom-fully-detached-duplex-with-pool-bq-detached-duplexes-for-sale-osapa-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/osapa/2922524-most-affordable-5bedroom-fully-detached-duplex-with-pool-bq
Most Affordable 5bedroom Fully Detached Duplex With Pool & Bq,"Osapa London, Osapa, Lekki, Lagos","₦1,200,000,000",5 Bed,6 Bath,6 Toilet,"Royal9ja Properties Management

  08092302956",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922530/0684e7ca10ae61-most-affordable-5bedroom-fully-detached-duplex-with-pool-bq-detached-duplexes-for-sale-osapa-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/osapa/2922530-most-affordable-5bedroom-fully-detached-duplex-with-pool-bq
Most Affordable 5bedroom Fully Detached Duplex With Pool & Bq,"Osapa London, Osapa, Lekki, Lagos","₦1,300,000,000",5 Bed,6 Bath,6 Toilet,"Royal9ja Properties Management

  08092302956",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922535/0684e7db44e79e-most-affordable-5bedroom-fully-detached-duplex-with-pool-bq-detached-duplexes-for-sale-osapa-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/osapa/2922535-most-affordable-5bedroom-fully-detached-duplex-with-pool-bq
