Title,Location,Price,Bedrooms,Bathrooms,Toilets,Agent,DateAdded,ImageURL,URL
Exquisitely Finished 4-bedroom Semi-detached Duplex With Bq,"Ikota, Lekki, Lagos","₦140,000,000",4 Bed,4 Bath,5 Toilet,"Tomaqproperties

  08147606561",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922694/0684ea99778a35-exquisitely-finished-4-bedroom-semi-detached-duplex-with-bq-for-sale-ikota-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/lagos/lekki/ikota/2922694-exquisitely-finished-4-bedroom-semi-detached-duplex-with-bq
Beautiful 5bedroom Semi Detached Duplex With A Bq,"Lekki, Ologolo, Lekki, Lagos","₦210,000,000",5 Bed,5 Bath,6 Toilet,"Opnet Homes And Properties Ltd

  07037269925",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922689/0684ea6d5a4449-beautiful-5bedroom-semi-detached-duplex-with-a-bq-semi-detached-duplexes-for-sale-ologolo-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/ologolo/2922689-beautiful-5bedroom-semi-detached-duplex-with-a-bq
Beautiful 4bedroom Semi Detached Duplex,"Lekki, Ologolo, Lekki, Lagos","₦195,000,000",4 Bed,4 Bath,5 Toilet,"Opnet Homes And Properties Ltd

  07037269925",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922684/0684ea53c35a38-beautiful-4bedroom-semi-detached-duplex-semi-detached-duplexes-for-sale-ologolo-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/ologolo/2922684-beautiful-4bedroom-semi-detached-duplex
Brand New 4 Bedroom Terrace Duplex With  Swimming Pool,"VGC, Lekki, Lagos","₦120,000,000",4 Bed,4 Bath,5 Toilet,"Marketbooy Realty

  08075000582",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922691/0684ea86e6874d-brand-new-4-bedroom-terrace-duplex-with-swimming-pool-terraced-duplexes-for-sale-victoria-garden-city-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/victoria-garden-city/2922691-brand-new-4-bedroom-terrace-duplex-with-swimming-pool
Luxury 5 Bedroom Fully Detached Duplex With A Cinema And A Pool,"Elegant And Luxurious 5 Bedroom Duplex With A  Bq And Elevator,pool, Osapa, Lekki, Lagos","₦850,000,000",5 Bed,5 Bath,6 Toilet,"Arab Space Realty

  7066927609",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922714/0684eb0b50dcb1-luxury-5-bedroom-fully-detached-duplex-with-a-cinema-and-a-pool-for-sale-osapa-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/lagos/lekki/osapa/2922714-luxury-5-bedroom-fully-detached-duplex-with-a-cinema-and-a-pool
"Luxury 5 Bedroom Fully Detached Duplex With A Pool, Bq","Beautiful And Elegant 5 Bedroom Duplex With A Rooftop Terrace And A Bq, Osapa, Lekki, Lagos","₦380,000,000",5 Bed,5 Bath,6 Toilet,"Arab Space Realty

  7066927609",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922711/0684eaeea0e435-luxury-5-bedroom-fully-detached-duplex-with-a-pool-bq-for-sale-osapa-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/lagos/lekki/osapa/2922711-luxury-5-bedroom-fully-detached-duplex-with-a-pool-bq
Luxury 5 Bedroom Fully Detached Duplex With Bq Cinema And Pool,"Exquisite And Beautiful 4 Bedroom Duplex With A Pool, Cinema And Bq., Osapa, Lekki, Lagos","₦650,000,000",5 Bed,5 Bath,6 Toilet,"Arab Space Realty

  7066927609",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922705/0684ead999bbf3-luxury-5-bedroom-fully-detached-duplex-with-bq-cinema-and-pool-for-sale-osapa-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/lagos/lekki/osapa/2922705-luxury-5-bedroom-fully-detached-duplex-with-bq-cinema-and-pool
"5 Bedroom Detached Duplex With Cinema, Swimming Pool & Bq","Osapa, Lekki, Osapa, Lekki, Lagos","₦550,000,000",5 Bed,5 Bath,6 Toilet,"K.a & Co.

  09037628062",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922696/0684ea9e89d89f-5-bedroom-detached-duplex-with-cinema-swimming-pool-bq-detached-duplexes-for-sale-osapa-lekki-lagos.jpg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/osapa/2922696-5-bedroom-detached-duplex-with-cinema-swimming-pool-bq
Exquisitely Detailed 6 Bedroom Detached Smart Home At Banana Island,"Comes With Elevator And Pool In Banana Island, Ikoyi, Lagos","₦6,000,000,000",6 Bed,7 Bath,7 Toilet,"Nikkyblaq_homes

  08085597978",,https://images.nigeriapropertycentre.com/properties/images/thumbs/2920607/0684ca345dae38-exquisitely-detailed-6-bedroom-detached-smart-home-at-banana-island-detached-duplexes-for-sale-ikoyi-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ikoyi/2920607-exquisitely-detailed-6-bedroom-detached-smart-home-at-banana-island
Detached House On 1200 Sqm Plot,"Off Bourdillon Road, Old Ikoyi, Ikoyi, Lagos","₦4,800,000,000",6 Bed,6 Bath,6 Toilet,"Vallecano Ventures

  08027294775",,https://images.nigeriapropertycentre.com/properties/images/thumbs/2659433/06785569be44e1-large-duplex-with-guest-challet-semi-detached-duplexes-for-rent-lekki-phase-1-lekki-lagos.jpg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ikoyi/old-ikoyi/2659433-detached-house-on-1200-sqm-plot
"Luxury 4 Bedroom Maisonette With 2bq, Communal Pool And Gym.","Banana Island, Ikoyi, Lagos","$1,300,000,000",4 Bed,5 Bath,5 Toilet,"Nikkyblaq_homes

  08085597978",,https://images.nigeriapropertycentre.com/properties/images/thumbs/2911382/068467a373f760-luxury-4-bedroom-maisonette-with-2bq-communal-pool-and-gym-block-of-flats-for-sale-ikoyi-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/ikoyi/banana-island/2911382-luxury-4-bedroom-maisonette-with-2bq-communal-pool-and-gym
"4 Bedroom Detached Duplex With Swimming Pool, And Bq","Banana Island, Ikoyi, Lagos","₦3,500,000,000",4 Bed,5 Bath,5 Toilet,"Propertiescapes Limited

  08170077419",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922687/0684ea60e399d2-4-bedroom-detached-duplex-with-swimming-pool-and-bq-detached-duplexes-for-sale-banana-island-ikoyi-lagos.jpg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ikoyi/banana-island/2922687-4-bedroom-detached-duplex-with-swimming-pool-and-bq
Luxury 3 Bedroom Semi Detached Duplex,"Happyland Estate, Ajah, Lagos","₦100,000,000",3 Bed,3 Bath,4 Toilet,"4-tee Properties & Investment Ltd

  08138626902",,https://images.nigeriapropertycentre.com/properties/images/thumbs/2909524/068441919c19de-luxury-3bedroom-semi-detached-duplex-semi-detached-duplexes-for-sale-ajah-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/ajah/2909524-luxury-3-bedroom-semi-detached-duplex
Newly Built 5 Bedroom Fully Detached Duplex,"Ajah, Ajah, Lagos","₦260,000,000",5 Bed,5 Bath,6 Toilet,"Donhilz Global Service

  +2347064818968",Added Yesterday,https://images.nigeriapropertycentre.com/properties/images/thumbs/2921785/0684dab99d377b-newly-built-5-bedroom-fully-detached-duplex-detached-duplexes-for-sale-ajah-lagos.jpg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/2921785-newly-built-5-bedroom-fully-detached-duplex
4-bedroom Fully Detached Duplex With Bq With Governor's Consent,"Peace Ville Homes, Thomas Estate,, Ajah, Lagos","₦135,000,000",4 Bed,4 Bath,6 Toilet,"Akudo Real Estate Limited

  07079672762",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922681/0684ea3b854c87-4-bedroom-fully-detached-duplex-with-bq-with-governors-consent-detached-duplexes-for-sale-ajah-lagos.jpg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/2922681-4-bedroom-fully-detached-duplex-with-bq-with-governors-consent
Very Spacious 4 Bedroom Fully Detached Duplex,"Abraham Adesanya, Ajah, Lagos","₦130,000,000",4 Bed,4 Bath,5 Toilet,"Marketbooy Realty

  08075000582",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922679/0684ea3515e0da-very-spacious-4-bedroom-fully-detached-duplex-detached-duplexes-for-sale-ajah-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/2922679-very-spacious-4-bedroom-fully-detached-duplex
